InputID,TargetID,Distance
173,Varamin,0.553644240798
174,Derbent,0.0881575124126
9810,Kumamoto,0.448332020211
175,Gifu,0.157325235744
5896,Kobe,0.152652618736
177,As Salt,0.230569794451
178,Damascus,0.00277888539739
180,Tikrit,0.440098200828
181,El Arish,0.406440090053
183,Birjand,0.427542489871
7341,Kagoshima,0.139643109957
185,Nangong,0.462021118581
187,Venice,0.14042506551
7901,Changde,0.972551647127
188,Ulsan,0.220449248407
190,Ankang,0.420466222215
192,Verona,0.0604398470684
193,Iraklio,0.350232618378
196,Rome,0.118705987618
198,Treviso,0.434188657548
5897,Adana,0.285821696597
199,Dundee,0.262746590019
200,Xichang,0.101975758155
202,Sheberghan,0.48304675256
5898,Yokohama,0.304685738303
205,Yuci,0.310029746497
206,Samandagi,0.134727166036
207,Qoqon,0.386410899684
8262,Cherbourg,0.863214391301
208,Damascus,0.00277888539739
209,Mosul,0.153126906464
210,Hatay,0.131884647811
215,Campobasso,0.457495275352
216,Damascus,0.00277888539739
211,Tall Afar,0.405296231485
217,Tehran,0.435032933981
5899,Sakata,0.0942760728945
218,Artashat,0.0676090395921
219,Campobasso,0.168237377967
222,Qairouan,0.0196081361671
221,Arras,0.365903719441
220,Gavarr,0.380585989537
224,Tehran,0.435032933981
225,Artashat,0.0676090395921
230,Tunis,0.0205109164241
232,Gorgan,0.655550396258
227,Tripoli,0.650995260745
234,Artashat,0.0676090395921
235,Tabriz,0.132839495679
238,Samandagi,0.134727166036
240,Al Musayyib,0.305130452781
242,Tehran,0.435032933981
243,Artashat,0.0676090395921
7342,Nagano,0.481045420588
241,Tabriz,0.132839495679
244,Tehran,0.435032933981
245,Istanbul,0.107244994113
247,Sendai,2.78821965665
254,Ilam,0.882110887174
259,Yinchuan,0.765833623188
260,Er Rachidia,2.48350406688
261,El Giza,0.090576010605
5900,Nagaoka,0.761656520783
262,Wakayama,1.23025002084
263,Ardabil,0.0499975541295
268,Artashat,0.0676090395921
270,Verona,0.14074498746
272,Kyustendil,0.620496322983
271,Rome,0.118705987618
273,Tehran,0.435032933981
274,Baghdad,0.237910021055
275,Hamadan,0.741397098308
5901,Tsu,0.935210935015
276,Kogon,0.0503849304856
277,Tehran,0.42826557279
280,Ashgabat,0.0971557962091
281,Aleppo,0.148445661311
282,Ashgabat,0.0971557962091
284,Hamadan,0.155042659706
286,Kirkuk,0.786226364139
287,Tehran,0.034401773844
290,Tehran,0.435032933981
293,Baghdad,0.237910021055
294,Catania,0.506388330657
295,Hatay,0.131884647811
297,Manama,1.9922601456
298,Fasa,1.87044354641
299,Benevento,0.0603034647547
300,Mosul,0.153126906464
303,Benevento,0.0603034647547
304,Damascus,0.00277888539739
7902,Changde,0.323480895781
7904,Changzhou,0.0703922463632
306,Ljubljana,0.0572788709081
307,Dali,0.213994515097
309,Xian,0.109400774639
308,Verona,0.14074498746
312,Besancon,0.231946415781
311,Kars,0.229751714147
316,Baghdad,0.237910021055
318,Fasa,1.85996051346
319,Izmit,0.485382788128
321,Selfoss,0.0666481521538
322,Basel,0.0810065019529
7905,Datong,0.344571711503
5902,Hiroshima,0.760998350102
8156,Haifa,0.178990163448
325,Incheon,0.361464758506
326,Nanjing,0.227973076961
327,Xinzhou,0.180319548591
8237,Izmir,0.15490915965
330,Qairouan,0.101897434352
333,Tabriz,0.132839495679
335,Tabriz,0.0117834265844
336,Erzincan,0.0531435103618
337,Kars,0.416894475432
341,Neyshabur,0.220931642212
339,Behbehan,0.0426068108141
344,Beijing,0.246456465218
348,Baqubah,0.554009190557
351,Trablous,0.38772775853
352,Bursa,0.259754057101
353,Izmit,0.242824940577
354,Messina,0.461075924147
355,Kashmar,0.486552461034
356,Kashmar,1.26475034828
359,Chaozhou,0.15268773488
361,Al Aqabah,0.130515457115
362,Baoding,0.724882371054
364,El Giza,0.090576010605
365,Zabid,0.0162945528513
366,Tadmur,0.531424486341
367,Bursa,0.641503929335
369,Erzurum,0.191118173054
368,Ahvaz,0.398714437073
371,Samarra,0.230780630673
370,Siracusa,0.0710713643252
372,Kars,0.798150735098
5904,Hachinohe,1.46000210023
373,Tadmur,0.263912603387
374,Hatay,0.131884647811
375,Hamamatsu,0.754842757287
7381,Wakayama,1.26745096939
376,Neyshabur,0.284260679837
377,Yuci,0.222821621082
379,Herat,0.673636943643
380,Hatay,0.0363579589837
381,Hatay,0.0363579589837
382,Van,0.00456038745986
385,Adiyaman,0.348632888976
383,Hatay,0.131884647811
9985,Civitavecchia,0.438337763604
387,Ras al Khaymah,0.752513574318
388,Hatay,0.131884647811
389,Sanliurfa,0.42299420321
390,Verona,0.0604398470684
391,Bologna,0.302239391569
392,Qazvin,0.0700199588138
7906,Lanzhou,0.0993781090165
393,Benevento,0.0603034647547
394,Mosul,0.153126906464
395,Baghdad,0.237910021055
398,Mosul,0.0637038900368
397,Catania,0.200968465413
402,Ganca,0.388232825414
405,Yinchuan,0.0417196655891
406,Baghdad,0.140826177584
408,Lisbon,0.052914320064
407,As Suwayda,0.166975804597
409,Sarande,0.126212550298
412,Novara,0.626799522034
411,Hims,0.318334730516
413,Aleppo,0.0451432081769
415,Hamah,0.432932910228
416,Malatya,0.0580623935703
417,As Salt,0.230569794451
418,Selfoss,1.0622057036
421,Catania,0.206126670453
419,Aleppo,0.0451432081769
422,Trablous,0.0715027574907
9807,Catania,0.506388330657
424,Tehran,0.435032933981
423,Atamyrat,0.442337495215
425,Qazvin,0.0299800455076
426,Hatay,0.131884647811
427,Benevento,0.351625424762
428,As Suwayda,0.166975804597
429,Selfoss,0.0666481521538
430,Hims,0.318334730516
432,Catanzaro,0.565426353274
435,Maribor,0.377178302044
440,Damascus,0.298056606124
442,Nanping,0.522927783529
444,Sabzewar,0.0854226239288
445,Dasoguz,0.163801734971
448,Linfen,0.293704654653
447,Neyshabur,0.220931642212
450,Benha,0.12133338323
451,Pingliang,0.671592510867
5936,Lemosos,0.17855133012
452,Bergamo,0.570199518687
454,Foggia,0.367541563258
8091,Yinchuan,0.0417196655891
455,Aix-en-Provence,0.169997799949
9981,Istanbul,0.421836544605
457,Caserta,0.694541407655
458,Venice,0.193522750905
460,Durres,0.0547653558331
461,Kashmar,0.982778282973
459,Durres,0.189320814795
5937,Yokohama,0.216387899823
462,Rome,1.03694924388
9947,Kathmandu,0.0237349811822
5939,Yokohama,0.14427074289
5938,Hachinohe,2.88643778084
463,Marsala,0.204034036066
464,Neyshabur,0.220931642212
465,Erzincan,0.00769784366639
470,Tabriz,0.132839495679
7798,Tirana,0.122031396957
471,Potenza,0.0420141161253
472,Tskhinvali,0.261087618534
473,Larache,0.116991779402
474,Verona,0.14074498746
477,Ravenna,0.311405585103
478,Neyshabur,0.341783810792
479,Zadar,0.0654367592733
480,Zadar,0.0654367592733
481,Neyshabur,0.121680683247
482,Kutaisi,0.72346278745
483,Damascus,0.224520978908
484,Bourges,0.331706400125
485,Beijing,0.133048882139
486,Strasbourg,0.053857433216
488,Lingyuan,0.276451957827
490,Shiraz,0.354456013754
491,Linfen,0.0252948834247
492,Ramla,0.0897083681767
494,Yokohama,0.216387899823
495,Chur,0.0499798477905
496,Chur,0.0499798477905
497,L'Aquila,0.492528806552
500,Zadar,0.0654367592733
498,Gonbad-e Kavus,0.943732239121
499,L'Aquila,0.492528806552
501,Sari,0.461271118576
5940,Sitia,1.20445977208
503,Linfen,0.283727994865
7979,Khvoy,0.530861761903
506,Datong,0.344571711503
509,Pingliang,0.687844519808
507,Bandar-e-Abbas,0.608351672258
508,Iraklio,0.408843567409
513,Jingmen,0.196883207009
511,As Sulaymaniyah,0.570456004417
514,Handan,0.682963525179
517,Caserta,0.694541407655
516,Khvoy,0.738481079631
518,Portimao,2.44538219024
519,Rijeka,0.281762124202
7908,Yaan,0.398370278503
520,L'Aquila,0.595198397051
9973,Catania,0.246060099652
5941,Wakayama,0.524112227035
522,Bandar-e-Abbas,0.608351672258
524,Torbat-e Jam,1.05225095478
7909,Changping,0.524532361027
525,Trablous,0.38772775853
526,Changde,0.379446967706
9986,Yalta,0.243910546307
5942,Hirosaki,1.0610594501
527,Damascus,0.00277888539739
528,Zadar,0.288467953007
529,Tianshui,0.320559273034
531,Isfahan,0.101969021174
5943,Istanbul,0.370810712546
530,Setubal,0.539309840612
532,Florence,0.053850999886
533,Basel,0.0810065019529
534,Zibo,0.180849947641
536,Udine,0.420101380267
540,L'Aquila,0.120973240844
542,Naltchik,0.793705331578
7910,Yuci,0.469188605917
7911,Longxi,0.86106825802
543,Arezzo,0.228256680154
545,Tekirdag,0.544536924558
546,Hamah,0.333814032557
547,Portimao,0.57374041471
551,Liestal,0.160184692657
550,Delemont,0.157877583244
552,Zabid,0.149634581304
9917,Algiers,0.0598904216588
6003,Wakayama,1.32028320502
553,Bandar-e-Abbas,0.549317003592
555,Potenza,0.395683032576
556,Tokushima,1.15740085084
7912,Nanchang,0.589983821495
8150,Algiers,0.0598904216588
557,Rasht,0.0700167269298
7913,Yuci,0.242472415134
558,Nanjing,0.0564190554328
559,Zaragoza,0.742009057501
560,Stans,0.0527172869594
